latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
31.722159,-83.442745,018,038,4352,4026,2026-07-27,1606,L9,medium,D
31.165284,-83.358478,018,038,4574,6090,2026-07-27,1606,L9,high,D
30.99418,-83.273215,018,038,4832,6728,2026-07-27,1606,L9,high,D
30.99391,-83.273209,018,038,4832,6729,2026-07-27,1606,L9,high,D
30.994186,-83.272901,018,038,4833,6728,2026-07-27,1606,L9,low,D
31.198104,-83.232749,018,038,4976,5977,2026-07-27,1606,L9,medium,D
31.19811,-83.232435,018,038,4977,5977,2026-07-27,1606,L9,high,D
31.975463,-83.248833,018,038,4984,3103,2026-07-27,1606,L9,high,D
31.975193,-83.248827,018,038,4984,3104,2026-07-27,1606,L9,low,D
31.97628,-83.248536,018,038,4985,3100,2026-07-27,1606,L9,low,D
31.97601,-83.248529,018,038,4985,3101,2026-07-27,1606,L9,high,D
31.975739,-83.248522,018,038,4985,3102,2026-07-27,1606,L9,high,D
31.974928,-83.248503,018,038,4985,3105,2026-07-27,1606,L9,low,D
31.974657,-83.248496,018,038,4985,3106,2026-07-27,1606,L9,low,D
31.15092,-83.191369,018,038,5104,6154,2026-07-27,1606,L9,high,D
31.15065,-83.191363,018,038,5104,6155,2026-07-27,1606,L9,high,D
31.150926,-83.191054,018,038,5105,6154,2026-07-27,1606,L9,high,D
30.76995,-83.156672,018,038,5187,7564,2026-07-27,1606,L9,low,D
30.770226,-83.156365,018,038,5188,7563,2026-07-27,1606,L9,low,D
30.769955,-83.156359,018,038,5188,7564,2026-07-27,1606,L9,high,D
31.219589,-83.081173,018,038,5459,5907,2026-07-27,1606,L9,medium,D
31.220135,-83.08087,018,038,5460,5905,2026-07-27,1606,L9,high,D
31.219864,-83.080864,018,038,5460,5906,2026-07-27,1606,L9,high,D
31.219594,-83.080858,018,038,5460,5907,2026-07-27,1606,L9,high,D
31.220681,-83.080567,018,038,5461,5903,2026-07-27,1606,L9,high,D
31.220411,-83.080561,018,038,5461,5904,2026-07-27,1606,L9,high,D
31.22014,-83.080556,018,038,5461,5905,2026-07-27,1606,L9,high,D
31.219869,-83.08055,018,038,5461,5906,2026-07-27,1606,L9,high,D
31.219599,-83.080544,018,038,5461,5907,2026-07-27,1606,L9,high,D
